input_text	target_text
nanaggacariyā najaṭānapaṃko nānāśanaṃtthaṇḍīlaśāyikā vā|	Neither going naked, nor matted hair, nor mud, nor fasting or lying on stony ground,
rajocelaṃ ukkuṭukapradhānaṃ śodhenti māccaṃ avitiṇṇakaṃchaṃ ||	dusty clothes, or striving while squatting, can purify a mortal who has not removed uncertainty.
alaṃkato cāpi samaṃ careyā dānto śānto niyato dhammacārī |	Even if he were to adorn himself, but is trained, peaceful, settled, living by Dhamma,
sabbesu prāṇesu nidhāya daṇḍaṃ so brāhmaṇo so śamaṇo sa bhikkhū ||	and has put aside the stick towards all living beings, he is a brahmin, an ascetic, a monastic.
mā vade paruṣaṃ kaṃci vuttā paṭivadeyu taṃ |	Do not speak anything harsh, spoken to they might answer back to you,
dukkhā hi sārambhakathā paṭidaṇḍā phuseyu taṃ ||	for arrogant talk entails misery, and they might strike you back with a stick.
sace iresi āttānaṃ kaṃso upahato-r-iva |	If you make a sound like a gong that is struck,
jātimaraṇasaṃsāraṃ ciraṃ praccanubhohisi ||	you will undergo the rounds of births and deaths for a long time.
na ce iresi āttānaṃ kaṃso anupahato-r-iva |	If you make no sound like a gong that is not struck,
esa prātto si nibbāṇaṃ sārambhā te na vijjati ||	you are like one who has attained Nibbāna, contention is not found in you.
yathā daṇḍena gopālo gāvo pājeti gocaraṃ |	Like a cowherd with a stick drives cattle to pasture,
evaṃ jarā ca maccū ca prāṇināṃ adhivattati ||	so do old age and death overpower living beings.
yathā daṇḍena gopālo gāvo rakṣati sāmināṃ |	Like a cowherd with a stick protects the owner’s cattle,
evaṃ rakkhatha āttānaṃ khaṇo vo mā upaccagū |	so one should watch over oneself, and you should not let the moment pass,
khaṇātītā hi śocanti nirayamhi samappitā ||	for when the chance has passed they grieve when consigned to the underworld.
sabbe trasanti daṇḍānāṃ sabbesaṃ jīvitaṃ priyaṃ |	Everyone trembles at sticks, for all of them life is dear,
āttānaṃ upamaṃ kattā neva haṃyyā na ghātaye ||	comparing oneself with others, one should not hurt or have them hurt.
sukhakāmāni bhūtāni yo daṇḍena vihiṃsati |	One who harms with a stick beings who desire happiness,
āttano sukham eṣāṇo precca so na labhate sukhaṃ ||	while seeking happiness for himself, won’t find happiness after death.
sukhakāmāni bhūtāni yo daṇḍena na vihiṃsati |	One who harms not with a stick beings who desire happiness,
āttano sukham eṣāṇo precca so labhate sukhaṃ ||	while seeking happiness for himself, will find happiness after death.
na bhajetha pāpake mitre na bhajetha puruṣā ’dhame |	One should not keep company with wicked friends, one should not keep company with the ignoble,
bhajetha praṃñe medhāvī bhajetha puruṣottame |	you should keep company with the sage and wise, you should keep company with superior people.
tārise bhajamānassa śreyo hoti na pāpiyo ||	keeping company with such is surely better for you, not worse.
nidhino va pravattāraṃ yaṃ paśśe vajjadaṃśinaṃ |	One should regard someone who shows your faults just like one who points out hidden treasure,
nigṛhyavādiṃ medhāvīṃ tārisaṃ puruṣaṃ bhaje |	one should keep company with such a sagacious person who reproves you;
ovadeyā anuśāseyā asabbhāto nivāraye |	One should advise and instruct, and forbid whatever is vile,
satāṃ hetaṃ priyaṃ hoti asatāṃ hoti apriyaṃ ||	for this is dear to the good, but it is not dear to the bad.
tassā satāñ ca asatāñ ca nānā hoti ito gatī |	Therefore the good and the bad from here go to various destinies,
asanto nirayaṃ yānti santo saggaparāyaṇā ||	the bad go to the underworld, the good cross over to heaven.
appaśśuto ayaṃ puruṣo balivaddo va jīrati |	The person of little learning increases in age like an ox,
māṃsāni tassa vaddhanti praṃñā tassa na vaddhati ||	for although his flesh does increase, his wisdom does not increase.
cattāri ṭṭhānāni naro pramatto āpajjate paradāropasevī |	There are four states the man who is heedless, the man who consorts with other man’s wives, undergoes:
apuṃñalābhaṃ anikāmaśeyaṃ nindaṃ tritīyaṃ nirayaṃ catutthaṃ ||	he gains demerit, an uncomfortable bed, blame as third, and rebirth in the underworld as fourth.
apuṃñalābho ca gatī ca pāpiko bhītassa bhītāya ratī pi appikā |	Gaining demerit and a bad destiny, and only the little delight of a scared man with a scared woman,
rājā ca daṇḍaṃ garukaṃ praṇeti kāyassa bhedā nirayaṃ upeti ||	and kings who apply heavy punishment, at the break up of the body he goes to the underworld.
saṃyyatā sugatiṃ yānti doggatiṃ yānti asaṃyyatā |	The restrained go to a good destiny, the unrestrained go to a bad destiny,
mā ssu viśśāsam āpādi iti vindu samaṃ care ||	thinking: “I should not exhibit confidence,” the wise one wanders peacefully.
mā kuñjara nāgam āsida dukkho kuñjara nāgamaṃsado |	Do not, elephant, approach the Buddha, for there is suffering, elephant, in approaching the Buddha,
na hi nāgahatassa kuñjara sugatī hoti ito paraṃ yato ||	for the one who attacks the Buddha, elephant, does not go from here to a good destiny.
giriduggavicāriṇaṃ yathā sīhaṃ parvvatapaṭṭhigocaraṃ |	As a lion wanders his mountain fortress, his resort on the mountainside,
naravīram apetabheravaṃ mā hiṃsittha anomanikramaṃ ||	do not hurt the man-hero, the one without fear, the one of superior effort.
ahaṃ nāgo va saṃggrāme cāpātipatite sare |	Like an elephant in battle endures arrows shot from bow
atīvāde titikkhāmi duśśīlo hi bahujano ||	so will I endure abuse, for many people are unvirtuous.
daṇḍavarggaḥ	The Chapter about the Stick
abhittaretha kallāṇe pāpā cittaṃnivāraye|	Hasten to do wholesome deeds, ward off the mind from wickedness,
daṃdhaṃhikaratopuṃñaṃ pāpamhi ramatemano ||	for the mind of the one slow in merit delights in wickedness.
kayira ce puruṣo pāpaṃ na naṃ kayirā punappuno |	Should a person do that which is wicked, he should not do it again and again,
na tamhi chandaṃ kayirātha dukkho pāpassa saṃcayo ||	let him not place his intention in it, for there is an accumulation of suffering for the wicked one.
kayira ce puruṣo puṃñaṃ kayira cenaṃ punappuno |	If a person should make merit, he should do it again and again,
tamhi eva chandaṃ kayirātha sukho puṃñassa saṃcayo ||	let him place his intention there, there is an increase of joy for the one who has made merit.
śuddhasseva sadā phaggū suddasso ’poṣatho sadā |	For the pure one there is always fasting, for the pure one there is always the fast day,
śuddhassa śucikammassa sadā saṃpajjate vrataṃ ||	for the pure one, the one of clean deeds, his vow always succeeds.
akataṃ dukkataṃ śreyo pacchā tapati dukkataṃ |	Better undone is a wrong-doing, a wrong-doing one later regrets,
dukkataṃ me kataṃ ti śocati bhūyo śocati doggatiṃ gato ||	he grieves, thinking: “I have done a bad deed,” gone to a bad fate, he grieves much more.
katañ ca sukataṃ sādhu yaṃ kattā nānutappati |	Better done is what is well-done, which, when done, one does not regret
sukataṃ me kataṃ ti nandati bhūyo nandati soggatiṅ gato ||	he is happy, thinking: “I have done a good deed,” gone to a good fate, he is happy much more.
pāpo pi paśśate bhadraṃ yāva pāpaṃ na paccati |	Even the wicked one experiences good fortune while the wickedness does not ripen,
yadā tu paccate pāpaṃ atha pāpo pāpāni paśśati ||	but when the wickedness ripens then the wicked one experiences wicked things.
bhadro pi paśśate pāpaṃ yāva bhadraṃ na paccati |	Even the fortunate one experiences wickedness as long as the good fortune does not ripen,
yadā tu paccate bhadraṃ atha bhadro bhadrāṇi paśśati ||	but when the fortune ripens then the fortunate one experiences good fortune.
pāpaṃ pi karato bhadraṃ yāva pāpaṃ na paccati |	Even the wicked one does good while the wickedness does not ripen,
atha payirāgate kāle pāpo pāpāni paśśati ||	but when the time has gone by the wicked one experiences wicked things.
bhadraṃ pi karato pāpaṃ yāva bhadraṃ na paccati |	Even the fortunate one does wickedness as long as the good fortune does not ripen,
atha payirāgate kāle bhadro bhadrāṇi paśśati ||	but when the time has gone by the fortunate one experiences good fortune.
pāṇimhi ce vraṇo nā ’ssa dhāreyā pāṇinā viṣaṃ |	If there is no wound for him in his hand he can carry poison with his hand,
nāvraṇe viṣam anneti nāsti pāpaṃ akurvvato ||	poison does not enter without a wound, there is no wickedness for the one who does not do wrong.
na hi pāpakaṃ kataṃ kammaṃ sajjaṃ chīraṃ va mucchati |	A wicked deed that has been done, like milk, does not turn all at once,
dahantaṃ bālam anneti bhassachanno va pāpako ||	smouldering, it follows the fool, like a fire covered with ashes.
na hi pāpakaṃ kataṃ kammaṃ sajjaṃ śastam va kantati |	A wicked deed that has been done, like a knife, does not cut all at once,
maraṇo ’peto hi jānāti yā gatī pāpakaṃmuṇo ||	but when death comes he knows the destiny of those who do wickedness.
anāgataṃ paṭikayirātha kiccaṃ mā vo kiccaṃ kiccakāle vyadheyā |	You should prepare beforehand what is to be done, do not tremble at what is to be done at the time for it,
taṃ tārisaṃ paṭikatakiccakāriṃ na naṃ kiccaṃ kiccakāle vyadheti ||	for such a one who has prepared what is to be done, does not tremble at what is to be done at the time for it.
paṭikacceva taṃ kayirā yaṃ ñāyyā hitam āttano |	One should prepare to do that which one knows is for one’s welfare,
na śākaṭikamanti ssa mantaṃ dhīro parākrame ||	the sage, the wise one should make effort, not with the thinking of the charioteer.
yathā śākaṭiko māggaṃ samaṃ hettā mahāpathaṃ |	As the charioteer who abandoned the smooth path of the highway,
viṣamaṃ māggam āsājja akkhachinno tha jhāyati ||	and approached the rough path, then he broods, as upon a broken axle,
evaṃ dhammā apakrāṃma adhaṃmam anuvattiya |	so the one departing from Dhamma and following what is not Dhamma,
bālo maccumukhaṃ prātto akkhachinno va jhāyati ||	when that fool comes to Death’s jaws he broods, as upon a broken axle.
kāṣāyakaṃṭhā bahavo pāpadhaṃmā asaṃyyatā |	Many wearing the monastic robe around their necks are wicked, unrestrained.
pāpā pāpehi kaṃmehi nirayaṃ te upapajjatha ||	Wicked ones! Through your wicked deeds, you re-arise in the underworld.
abhūtavādī nirayaṃ upeti yo cāpi kattā na karomī ti āha |	One who speaks what is untrue goes to the underworld, he who says: ‘I do not do’ what he has done,
ubho pi te precca samā bhavanti nihīnakaṃmā manujā paratra ||	both of these are just the same when they have gone to the hereafter, they are humans who did base deeds.
yo apraduṣṭassa naro praduṣyati śuddhassa poṣassa anaṃgaṇassa |	He who offends against the inoffensive one, a purified and passionless person:
tam eva bālaṃ pracceti pāpaṃ sukhumo rajo paṭivātaṃ va khitto ||	that wicked deed then returns to the fool, like fine dust that is thrown against the wind.
vāṇijo va bhayaṃ māggaṃ appasāttho mahaddhano |	Like a merchant on a fearful path, with few friends and great wealth,
viṣaṃ jīvitukāmo va pāpāni parivajjaye ||	as one loving life would avoid poison, so should one avoid wicked deeds.
paradukkhopadhānena yo icche sukham āttano |	He who desires happiness for himself by causing suffering for another,
verasaṃsaggasaṃsaṭṭho dukkhā na parimuccati ||	being associated thus with hatred, is not fully released from suffering.
kuṇapassa pi gandhucchijjati u ’ddhukitassa pi rāti accayā |	The smell of a corpse is cut off eventually, also of one bloated when nights have passed,
puruṣassa adhammacāriṇo annāhaṃ gandho na chijjati ||	but of the man who lives not by Dhamma day by day his smell is never cut off.
yatha ggrahapatayo prabhūtaratanā āḍitte nagaramhi dahyamāne |	Just as householders having great treasures, when the city is on fire and burning,
muttāmaṇiphaṭikarajataheto vyāyamanti api nīharema kiṃci ||	because of their pearls, jewels, crystal and silver, make effort, thinking: “We will save something”,
tatha-r-iva śamaṇā prabhūtapraṃñā ayirā ayirapathesu sicchamānā |	so the ascetics of great wisdom, noble ones training along the noble path,
jātijarāmaraṇabhayāddittā dukkhāṭṭā vyāyamanti api prāpuṇema śāntiṃ ||	oppressed with the fear of birth, old age, death, afflicted by suffering, make effort, thinking: “We will attain peace”.
kalyāṇīvarggaḥ	The Chapter about the Wholesome
vācānurakkhī manasā susaṃvṛto kāyena yo akuśalaṃ na sevati|	Verbally guarded, well-restrained in mind, he who does not practice a wrong deed with the body,
etettayo kaṃmapathe viśodhiya prāppojja so śāntipadaṃ anuttaraṃ ||	purifying these three paths of action, would attain the unsurpassed state of peace.
kāyapradoṣaṃ rakkheyā kāyena saṃvṛto siyā |	One should guard against bodily faults, one should be restrained bodily,
kāyaduccaritaṃ hettā kāyena sucaritaṃ care ||	abandoning wrong bodily conduct, one should have good bodily conduct.
vācāpradoṣaṃ rakkheyā vācāya saṃvṛto siyā |	One should guard against verbal faults, one should be restrained verbally,
vācāduccaritaṃ hettā vācāya sucaritaṃ care ||	abandoning wrong verbal conduct, one should have good verbal conduct.
manapradoṣaṃ rakkheyā manasā saṃvṛto siyā |	One should guard against mental faults, one should be restrained mentally,
manoduccaritaṃ hettā manasā sucaritaṃ care ||	abandoning wrong mental conduct, one should have good mental conduct.
kāyena saṃvṛtā dhīrā vācāya utta cetasā |	The wise are restrained bodily, verbally and also mentally,
sabbattha saṃvṛtā dhīrā te ve suparisaṃvṛtā ||	the wise are restrained in every way, they are indeed very well-restrained.
porāṇam etaṃ ādhora na etaṃ ahunā-r-iva |	This is something of old, Ādhora, this is not something of today:
nindanti tohnim āsīnaṃ nindanti mitabhāṇikaṃ |	they blame the one who sits silently, they blame the one who talks in moderation,
bahubhāṇikaṃ pi nindanti nāsti loke anindito ||	they blame the one who talks a lot, there is no one in the world not blamed.
na cābhu na ca bhaviṣyati na cetarahi vijjati |	There was not and there will not be, and at present there is not found
ekāntanindito poṣo ekāntaṃ vā praśaṃsito ||	a person totally blameworthy, or one totally praiseworthy.
yañ ca bālā adhaṃmaṭṭhaṃ pūjeyu garaheyu vā |	He who would worship or reproach the one who is unrighteous,
aviñūṃ avibhāvāya na taṃ atthāya kāyaci ||	a fool with lack of intelligence, that is to no purpose.
yaṃ ca viñū praśaṃsanti anuvicca suve suve |	The one who, after being examined day by day, is praised by the wise,
acchidravattiṃ medhāviṃ praṃñāśīlasamāhitaṃ ||	faultless in conduct, sagacious, attending to virtue and wisdom,
nikkhaṃ jāṃbūnadasseva ko taṃ ninditum arihati |	one who is like a golden coin, who is there worthy to blame him?
devā pi naṃ praśansanti brahmuṇā pi praśaṃsito ||	That one is praised by the gods, and has been praised by the Brahmās too.
na vākkaraṇamātteṇa vannapukkhalatāya vā |	Not by eloquence only, or by a beautiful complexion,
sādhurūpī naro hoti iśśukī maccharī śaṭho ||	is a person honourable, if still jealous, selfish and deceitful.
yamhi saccaṃ ca dhammo ca viratī saṃyyamo damo |	In whom is truth, Dhamma, abstinence, restraint and good training,
sa vāntadoṣo medhāvī sādhurūpī ti vuccati ||	that sage who has thrown out hatred is said to be honourable.
bahuṃ pi ce sahitaṃ bhāṣamāno na takkaro hoti naro pramatto |	Even though reciting abundant scriptures, the heedless fellow, who does not do what they say,
gopo va gāvo gaṇayaṃ paresaṃ na bhāgavā śāmaṇṇassa hoti ||	like a cowboy counting other’s cattle, does not partake of the ascetic life.
appaṃ pi ce sahitaṃ bhāṣamāno dhammassa hoti anudhammacārī |	Even though reciting but few scriptures, but living righteously in accordance with Dhamma,
rāgaṃ ca doṣaṃ ca prahāya mohaṃ vimuttacitto akhilo akaṃcho |	abandoning greed, hate and delusion, with mind released, completely without doubt,
anupādiyāno iha vā hure vā sa bhāgavā śāmannassa hoti ||	that one, unattached here and hereafter, surely partakes of the ascetic life.
saccaṃ bhaṇe na kujjheyā deyā appā pi yācito |	One should speak out the truth, one should not get angry, when requested you should give, if only a little,
etehi ttihi ṭṭhāṇehi gacche devāna santike ||	through these three conditions one can go to the presence of the gods.
na ve kadāryyā devalokaṃ vrajanti bālā hi bhe na praśaṃsanti dānaṃ |	The miserly go not to the world of the gods, fools surely do not praise giving,
dhīro tu dānaṃ anumodamāno teneva so devalokaṃ pareti ||	but the wise one rejoices in giving, and through that he goes to the world of the gods.
śīlavantaṃ śuciṃ dacchaṃ dhammaṭṭhaṃ saccavādinaṃ |	Having virtue, being pure and clever, principled, knowing the truths,
āttano kārakaṃ śantaṃ taṃ jano kurute priyaṃ ||	the good one doing the deeds that are his own, that one the people love.
śreyo ayoguḍā bhuttā tattā aggiśikhopamā |	It’s better to have eaten glowing iron balls, like flames of fire,
yaṃ ca bhuñjeya duśśīlo rāṣṭapiṇḍaṃ asaṃyyato ||	than that the monastic who is unrestrained and unvirtuous should enjoy the country’s almsfood.
kuśo yathā duggṛhīto hastam evānukaṃtati |	As kusa grass, wrongly grasped, cuts into the hand,
śāmannaṃ dupparāmāṭṭhaṃ nirayāya upakaṭṭati ||	so does the ascetic life, wrongly grasped, drag one down to the underworld.
ekadhaṃmam atītassa muṣāvādissa jaṃtuno |	For the person speaking falsely, who has transgressed in this one thing,
vitinnaparalokassa nāsti pāpaṃ akāriyaṃ ||	who has abandoned the next world, there is no wickedness left undone.
na hi śastaṃ suniśitaṃ viṣaṃ hālāhalaṃ tathā |	For not a well-sharpened sword, or even deadly poison,
evaṃ khipraṃ atipāteti vācā dubbhāṣitā yathā ||	destroy quite as quickly as words that are badly spoken.
puruṣassa jāyamānassa kuṭhārī jāyate mukhe |	For with the birth of a man an axe is born in his mouth,
yāya chindati āttānaṃ vācaṃ dubbhāṣitaṃ bhaṇaṃ ||	with which he cuts himself speaking a word that is badly spoken.
yo hi nindiye praśaṃsati uttavā nindati yo praśaṃsiye |	He who praises the blameworthy, or he who blames the praiseworthy,
vicināti mukhena so kaliṃ kalinā tena sukhaṃ na vindati ||	piles up bad fortune with his mouth, and because of that bad fortune he does not find happiness.
appāmātto ayaṃ kalī yo akkhehi dhanaṃ parājaye |	(Compared to) he who has a small measure of bad fortune through dice and loses his wealth,
sabbassaṃ pi sahāpi āttanā	everything (he owns), together with his self;
ayam eva mahataro kalī yo sugatesu manaṃ pradūṣaye ||	this is indeed a far greater bad fortune: he who has a corrupt mind aimed at those faring well.
śataṃ sahasrāṇi nirabbudānāṃ chattrīśatiṃ paṃca ca abbudāni |	For one hundred and thirty-six thousand nirabbudas, and five abbudas,
yaṃ ayiragarahī nirayaṃ upeti vācaṃ manaṃ ca praṇidhāya pāpikāṃ ||	he goes to hell through reproaching the noble ones, having wicked verbal and mental intentions.
kallāṇim eva bhāṣeyā na ’ssa mucceya pāpikā |	He should speak wholesomely, he should not speak wickedly,
mokkho kallāṇiye śreyo muttā tapati pāpikāṃ ||	the speaking of what is wholesome is best, having spoken wickedly he suffers.
kallāṇim eva seveyā na ’ssa mucceya pāpikā |	He should practice wholesomely, he should not speak wickedly,
vācaṃ bhāṣeyā kallāṇiṃ na ’ssa mucceya pāpikā |	He should speak wholesome words, he should not speak wickedly,
jātaṃ krodhaṃ nivāreyā so biṣabbhi nirujjhati ||	arisen anger he should constrain, he ceases from hatred.
vācāvarggaḥ	The Chapter about Verbalising
3. brāhmaṇa	3. The Chapter about Brahmins
chinna sūtraṃ parākrāmma bhavaṃ praṇuda brāhmaṇa |	Strive and cut off the thread, remove continuity, brahmin,
saṃkhārāṇāṃ khayaṃ ñāttā akathaso si brāhmaṇa ||	knowing the destruction of the conditioned, you are … brahmin
yamhi dhammaṃ vijāneyā vṛddhamhi daharamhi vā |	That one from whom one learned Dhamma, whether old or young,
sakkacca naṃ namasseyā aggihotraṃ va brāhmaṇo ||	with respect bow down to him, like a brahmin bows at fire-sacrifice.
yamhi dhammaṃ vijāneyā sammasaṃbuddhadeśitaṃ |	That one from whom one learned Dhamma taught by the Perfect Sambuddha,
tam eva apacāyeyā aggihotraṃ va brāhmaṇo ||	you should honor him, like a brahmin honors the fire-sacrifice.
na jaṭāhi na gotreṇa na jāccā hoti brāhmaṇo |	Not because of matted hair, family or birth is one a true brahmin,
yo tu bāhati pāpāni aṇutthūlāni sabbaśo ||	he who wards off wickedness, small or great, in every way,
bāhanā eva pāpānāṃ brahmaṇo ti pravuccati |	through warding off wickedness, he is called a brahmin.
vārī pukkharapatte vā ārāgre-r-iva sāsavo ||	Like water on the lotus leaf, like a mustard seed on a needle,
yo na lippati kāmesu tam ahaṃ brūmi brāhmaṇaṃ |	he who is unsmeared by desires, that one I say is a brahmin.
udayaṃ tapati ādicco ratrim ābhāti candramā ||	The sun is radiant when it rises, the moon shines by night,
sannaddho khattiyo tapati jhāyiṃ tapati brāhmaṇo ||	the accoutred noble is radiant, the meditating brahmin is radiant,
atha sabbe ahorātte buddho tapati tejasā ||	yet during every day and night the Buddha is radiant through his power.
yassa pāram apāram vā pārāpāraṃ na vijjati |	For whom the near shore, the far shore or both do not exist,
vītajjaraṃ visaṃyuttaṃ tam ahaṃ brūmi brāhmaṇaṃ ||	free of fever, detached, that one I say is a brahmin.
yadā dayesu dhammesu pāragū hoti brāhmaṇo |	When a brahmin has, through two things, crossed over,
athassa sabbe saṃyogā atthaṃ gacchanti jānato ||	then, for one who knows, all the fetters are laid to rest.
sa khu so khīṇasaṃyogo khīṇamānapunabbhavo |	He who destroyed the fetter, destroyed conceit and continued existence,
saṃghāvasevī dhammaṭṭho saṃghaṃ na upeti vedagū ||	living in the Community, standing by Dhamma, the knowing one does not approach society.
akakkaśiṃ vinnapaṇiṃ girāṃ saccam udīraye |	Whoever should speak a word of truth that is informed and is not coarse,
tāya nābhiṣape kaṃci tam ahaṃ brūmi brāhmaṇaṃ ||	through which no one would be cursed, that one I say is a brahmin.
asaṃsaṭṭhaṃ gṛhaṭṭhehi anagārehi cūbhayaṃ |	Whoever doesn’t mix with either householders or the houseless,
anokasāriṃ appicchaṃ tam ahaṃ brūmi brāhmaṇaṃ ||	wandering homeless, with few desires, that one I say is a brahmin.
yassa kāyena vācāya manasā nāsti dukkataṃ |	For whom there is no wrong-doing bodily, verbally or mentally,
saṃvṛtaṃ trisu ṭṭhāṇesu tam ahaṃ brūmi brāhmaṇaṃ ||	being restrained in these three things, that one I say is a brahmin.
mā brāhmaṇassa prahare nāssa mucceya brāhmaṇo |	A brahmin should not hit a brahmin, nor should he abandon him,
dhī brāhmaṇassa hantāraṃ ya ssa vā su na muccati ||	woe to the one who strikes a brahmin, and to the one who does not abandon him.
mātaraṃ paṭhamaṃ hantā rājānaṃ do ca khattiye |	Destroying mother first, and then two noble kings,
rāṣṭaṃ sānucaraṃ hantā anigho carati brāhmaṇo ||	destroying a kingdom and its followers, the brahmin lives untroubled.
gambhīrapraṃñaṃ medhāviṃ māggā ’māggassa kovidaṃ |	The deeply wise sagacious one, skilled in what is path and not path,
uttamāttham anuprāttaṃ tam ahaṃ brūmi brāhmaṇaṃ ||	who has reached the ultimate good, that one I say is a brahmin.
jhāyiṃ virajam āsīnaṃ katakiccaṃ anāsavaṃ |	The meditator sitting down, the one who is dustless, who has done his duty, without pollutants,
brāhmaṇavarggaḥ	The Chapter about Brahmins
māggānaṣṭaṃgiko śreṣṭho saccānāṃ caturo padā |	The eightfold is the best of paths, four principles the best of truths,
virāgo śreṣṭho dhammāṇāṃ dupadānāṃ ca cakkhumā ||	dispassion the best of states, the Visionary the best of men.
ākkhāto vo mayā māggo aṃñāye śallasaṃsano |	The path was declared by me, the removal of the dart by knowledge,
tubbhehi kiccam ātappaṃ akkhātāro tathāgatā |	your duty is to have ardour declare the Realised Ones,
paṭipannā pramokkhanti jhāyino mārabaṃdhanā ||	entering this path meditators will be released from the bonds of Māra.
eseva māggo nāstaṃ ’ño daṃśanassa viśuddhiye |	This is the path, there is no other, for insight and for purity,
taṃ māggaṃ paṭipajjahvo mārasse ’sā pramohanī |	you should enter upon this path, this is the confounding of Māra,
etāhi tubbhe paṭipannā dukkhassa antaṃ kariṣyatha ||	having entered upon this path you will make an end to suffering.
vanaṃ chindatha mā rukkhe vanāto jāyate bhayaṃ |	Cut down the forest of defilements not just the trees, from the forest arises a danger,
chettā vanañ ca vanadhañ ca nibbanena gamiśśatha ||	having cut down the forest and thicket, you will go further without forests.
yāvatā vanadho na cchijjati aṇumātto pi narassa ñātisu |	For as long as an atom of desire of a man for his kin is not cut down,
paṭibaddhamano hi tattha so vaccho cchīravako va mātari ||	the mind is in bondage there, like a calf in bondage to mother’s milk.
ucchinna sineham āttano kumudaṃ śāradikaṃ va pāṇinā |	Cut off any affection for one’s self, like an autumn lotus plucked with the hand,
śāntimāggam eva byūhaya nibbāṇaṃ sugatena deśitaṃ ||	develop fully the path to peace and Nibbāna taught by the Fortunate One.
